ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,substitutions,Walker2011
posterior-1,STATE_9069000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-2,STATE_7662000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-3,STATE_6646000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-4,STATE_5628000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-5,STATE_5325000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-6,STATE_9342000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-7,STATE_6357000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-8,STATE_8075000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-9,STATE_6759000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-10,STATE_6459000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-11,STATE_6849000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-12,STATE_7030000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-13,STATE_5574000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-14,STATE_8895000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-15,STATE_6593000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-16,STATE_8526000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-17,STATE_5931000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-18,STATE_5847000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-19,STATE_6596000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-20,STATE_9024000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-21,STATE_7049000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-22,STATE_6173000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-23,STATE_5476000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-24,STATE_7081000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-25,STATE_6195000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-26,STATE_6807000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-27,STATE_6141000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-28,STATE_6521000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-29,STATE_9938000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-30,STATE_9986000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-31,STATE_7408000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-32,STATE_5715000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-33,STATE_9310000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-34,STATE_8274000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-35,STATE_8065000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-36,STATE_6424000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-37,STATE_9728000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-38,STATE_8770000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-39,STATE_8567000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-40,STATE_6011000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-41,STATE_7195000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-42,STATE_6328000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-43,STATE_6783000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-44,STATE_8886000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-45,STATE_7734000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-46,STATE_8785000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-47,STATE_8000000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-48,STATE_6529000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-49,STATE_8479000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-50,STATE_6695000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
posterior-51,STATE_8305000,posterior.trees,true,sample,bayesian,substitutions,Walker2011
